CUSTOMERNAME,COUNTRY,LAST_ORDER_DATE_IN_DATA,DAYS_SINCE_LASTORDER,Revenue,Orders,Risk_Tier
Online Mini Collectables,USA,2019-09-10,2923,57197.96,2,Churn Risk (>180d)
Auto-Moto Classics Inc.,USA,2019-12-03,2660,26479.26,3,Churn Risk (>180d)
Alpha Cognac,France,2020-03-28,2523,70488.44,3,Churn Risk (>180d)
Marseille Mini Autos,France,2020-01-06,2295,74936.14,3,Churn Risk (>180d)
"Dragon Souveniers, Ltd.",Singapore,2020-03-02,2216,172989.68,5,Churn Risk (>180d)
"Tokyo Collectables, Ltd",Japan,2020-04-22,2018,120562.74,4,Churn Risk (>180d)
Atelier graphique,France,2019-11-25,1767,24179.96,3,Churn Risk (>180d)
"Double Decker Gift Stores, Ltd",UK,2019-01-22,1723,36019.04,2,Churn Risk (>180d)
Enaco Distributors,Spain,2019-11-24,1719,78411.86,3,Churn Risk (>180d)
Cambridge Collectables Co.,USA,2019-05-08,1568,36163.62,2,Churn Risk (>180d)
Rovelli Gifts,Italy,2019-11-12,1387,137955.72,3,Churn Risk (>180d)
Cruz & Sons Co.,Philippines,2019-11-16,1311,94015.73,3,Churn Risk (>180d)
"Blauer See Auto, Co.",Germany,2019-11-05,1297,85171.59,4,Churn Risk (>180d)
"Australian Collectables, Ltd",Australia,2020-05-09,1215,64591.46,3,Churn Risk (>180d)
Diecast Collectables,USA,2019-04-26,1111,70859.78,2,Churn Risk (>180d)
"Clover Collections, Co.",Ireland,2019-09-16,1021,57756.43,2,Churn Risk (>180d)
Mini Auto Werke,Austria,2020-03-10,978,52263.9,3,Churn Risk (>180d)
Collectable Mini Designs Co.,USA,2019-02-26,972,87489.23,2,Churn Risk (>180d)
Gift Ideas Corp.,USA,2019-12-04,947,57294.42,3,Churn Risk (>180d)
"Saveley & Henriot, Co.",France,2019-03-02,920,142874.25,3,Churn Risk (>180d)
"Iberia Gift Imports, Corp.",Spain,2019-10-06,904,54723.62,2,Churn Risk (>180d)
Petit Auto,Belgium,2020-05-30,873,74972.52,3,Churn Risk (>180d)
Osaka Souveniers Co.,Japan,2019-04-13,853,67605.07,2,Churn Risk (>180d)
Signal Collectibles Ltd.,USA,2019-02-10,836,50218.51,2,Churn Risk (>180d)
Tekni Collectables Inc.,USA,2020-04-03,830,83228.19,3,Churn Risk (>180d)
"Norway Gifts By Mail, Co.",Norway,2019-08-21,825,79224.23,2,Churn Risk (>180d)
Mini Gifts Distributors Ltd.,USA,2020-05-29,824,654858.06,17,Churn Risk (>180d)
"Bavarian Collectables Imports, Co.",Germany,2019-09-15,801,34993.92,1,Churn Risk (>180d)
Royale Belge,Belgium,2020-01-10,763,33440.1,4,Churn Risk (>180d)
Handji Gifts& Co,Singapore,2020-04-23,760,115498.73,4,Churn Risk (>180d)
Herkku Gifts,Norway,2019-09-03,739,111640.28,3,Churn Risk (>180d)
"Stylish Desk Decors, Co.",UK,2019-12-03,727,88804.5,3,Churn Risk (>180d)
Daedalus Designs Imports,France,2019-02-21,700,69052.41,2,Churn Risk (>180d)
"AV Stores, Co.",UK,2019-11-17,668,157807.81,3,Churn Risk (>180d)
Toys4GrownUps.com,USA,2020-01-12,663,104561.95999999999,3,Churn Risk (>180d)
Signal Gift Stores,USA,2019-11-29,657,82751.08,3,Churn Risk (>180d)
Motor Mint Distributors Inc.,USA,2019-11-17,643,83682.16,3,Churn Risk (>180d)
CAF Imports,Spain,2019-03-19,625,49642.05,2,Churn Risk (>180d)
Reims Collectables,France,2020-03-30,612,135042.94,5,Churn Risk (>180d)
Mini Creations Ltd.,USA,2020-01-07,595,108951.13,3,Churn Risk (>180d)
Souveniers And Things Co.,Australia,2020-05-29,575,151570.98,4,Churn Risk (>180d)
L'ordine Souveniers,Italy,2020-05-10,573,142601.33,3,Churn Risk (>180d)
The Sharp Gifts Warehouse,USA,2020-04-22,564,160010.27,4,Churn Risk (>180d)
West Coast Collectables Co.,USA,2019-01-29,523,46084.64,2,Churn Risk (>180d)
Muscle Machine Inc,USA,2019-12-01,502,197736.94,4,Churn Risk (>180d)
Danish Wholesale Imports,Denmark,2020-04-15,499,145041.6,5,Churn Risk (>180d)
Diecast Classics Inc.,USA,2020-05-30,479,122138.14,4,Churn Risk (>180d)
Vitachrome Inc.,USA,2019-11-05,477,88041.26,3,Churn Risk (>180d)
"Toys of Finland, Co.",Finland,2020-02-09,459,111250.38,3,Churn Risk (>180d)
Amica Models & Co.,Italy,2019-09-09,455,94117.26,2,Churn Risk (>180d)
Microscale Inc.,USA,2019-11-03,453,33144.93,2,Churn Risk (>180d)
Mini Caravy,France,2020-04-14,447,80438.48,3,Churn Risk (>180d)
"Vida Sport, Ltd",Switzerland,2019-08-30,440,117713.56,2,Churn Risk (>180d)
Super Scale Inc.,USA,2019-05-04,430,79472.07,2,Churn Risk (>180d)
Heintze Collectables,Denmark,2019-10-22,414,100595.55,2,Churn Risk (>180d)
Boards & Toys Co.,USA,2020-02-08,410,9129.35,2,Churn Risk (>180d)
"Corrida Auto Replicas, Ltd",Spain,2019-11-01,407,120615.28,3,Churn Risk (>180d)
"Royal Canadian Collectables, Ltd.",Canada,2019-08-20,397,74634.85,2,Churn Risk (>180d)
"Toms Spezialitten, Ltd",Germany,2019-10-16,395,100306.58,2,Churn Risk (>180d)
"La Corne D'abondance, Co.",France,2019-11-20,387,97203.68,3,Churn Risk (>180d)
Marta's Replicas Co.,USA,2019-10-13,372,103080.38,2,Churn Risk (>180d)
Canadian Gift Exchange Network,Canada,2019-10-22,364,75238.92,2,Churn Risk (>180d)
"Classic Gift Ideas, Inc",USA,2019-10-14,344,67506.97,2,Churn Risk (>180d)
"Volvo Model Replicas, Co",Sweden,2019-11-19,338,75754.88,4,Churn Risk (>180d)
giftsbymail.co.uk,UK,2019-11-01,327,78240.84,2,Churn Risk (>180d)
Baane Mini Imports,Norway,2019-11-05,324,116599.19,4,Churn Risk (>180d)
Suominen Souveniers,Finland,2020-01-06,317,113961.15,3,Churn Risk (>180d)
Classic Legends Inc.,USA,2019-11-21,309,77795.2,3,Churn Risk (>180d)
Mini Classics,USA,2019-10-15,295,85555.99,2,Churn Risk (>180d)
Auto Assoc. & Cie.,France,2019-10-11,275,64834.32,2,Churn Risk (>180d)
Scandinavian Gift Ideas,Sweden,2020-03-03,262,134259.33,3,Churn Risk (>180d)
Online Diecast Creations Co.,USA,2019-11-04,253,131685.3,3,Churn Risk (>180d)
Technics Stores Inc.,USA,2020-01-05,241,120783.07,4,Churn Risk (>180d)
"Oulu Toy Supplies, Inc.",Finland,2020-01-31,241,104370.38,3,Churn Risk (>180d)
"Australian Collectors, Co.",Australia,2019-11-29,229,200995.41,5,Churn Risk (>180d)
Gift Depot Inc.,USA,2020-05-05,226,101894.79,3,Churn Risk (>180d)
Land of Toys Inc.,USA,2019-11-15,216,164069.44,4,Churn Risk (>180d)
Lyon Souveniers,France,2020-03-17,196,78570.34,3,Churn Risk (>180d)
"Australian Gift Network, Co",Australia,2020-02-02,190,59469.12,3,Churn Risk (>180d)
Salzburg Collectables,Austria,2020-05-17,188,149798.63,4,Churn Risk (>180d)
Collectables For Less Inc.,USA,2020-01-20,179,81577.98,3,At Risk (91-180d)
La Rochelle Gifts,France,2020-05-31,150,180124.9,4,At Risk (91-180d)
Gifts4AllAges.com,USA,2020-05-06,148,83209.88,3,At Risk (91-180d)
