CUSTOMERNAME,Revenue,Orders,Country,Cumulative_Revenue_%
Euro Shopping Channel,912294.11,26,Spain,9.3
Mini Gifts Distributors Ltd.,654858.06,17,USA,16.1
"Australian Collectors, Co.",200995.41,5,Australia,18.1
Muscle Machine Inc,197736.94,4,USA,20.1
La Rochelle Gifts,180124.9,4,France,22.0
"Dragon Souveniers, Ltd.",172989.68,5,Singapore,23.8
Land of Toys Inc.,164069.44,4,USA,25.4
The Sharp Gifts Warehouse,160010.27,4,USA,27.1
"AV Stores, Co.",157807.81,3,UK,28.7
"Anna's Decorations, Ltd",153996.13,4,Australia,30.3
Souveniers And Things Co.,151570.98,4,Australia,31.8
Salzburg Collectables,149798.63,4,Austria,33.4
Danish Wholesale Imports,145041.6,5,Denmark,34.8
"Saveley & Henriot, Co.",142874.25,3,France,36.3
L'ordine Souveniers,142601.33,3,Italy,37.8
Rovelli Gifts,137955.72,3,Italy,39.2
Reims Collectables,135042.94,5,France,40.6
Scandinavian Gift Ideas,134259.33,3,Sweden,41.9
Online Diecast Creations Co.,131685.3,3,USA,43.3
Diecast Classics Inc.,122138.14,4,USA,44.5
Technics Stores Inc.,120783.07,4,USA,45.8
"Corrida Auto Replicas, Ltd",120615.28,3,Spain,47.0
"Tokyo Collectables, Ltd",120562.74,4,Japan,48.3
"UK Collectables, Ltd.",118008.27,3,UK,49.5
"Vida Sport, Ltd",117713.56,2,Switzerland,50.7
Baane Mini Imports,116599.19,4,Norway,51.9
Handji Gifts& Co,115498.73,4,Singapore,53.0
Suominen Souveniers,113961.15,3,Finland,54.2
Herkku Gifts,111640.28,3,Norway,55.4
"Toys of Finland, Co.",111250.38,3,Finland,56.5
Mini Creations Ltd.,108951.13,3,USA,57.6
Toys4GrownUps.com,104561.95999999999,3,USA,58.7
"Oulu Toy Supplies, Inc.",104370.38,3,Finland,59.8
Marta's Replicas Co.,103080.38,2,USA,60.8
Gift Depot Inc.,101894.79,3,USA,61.9
Heintze Collectables,100595.55,2,Denmark,62.9
"Toms Spezialitten, Ltd",100306.58,2,Germany,63.9
FunGiftIdeas.com,98923.73,3,USA,64.9
"La Corne D'abondance, Co.",97203.68,3,France,65.9
Amica Models & Co.,94117.26,2,Italy,66.9
Cruz & Sons Co.,94015.73,3,Philippines,67.9
Auto Canal Petit,93170.66,3,France,68.8
"Stylish Desk Decors, Co.",88804.5,3,UK,69.7
Vitachrome Inc.,88041.26,3,USA,70.6
Collectable Mini Designs Co.,87489.23,2,USA,71.5
Mini Classics,85555.99,2,USA,72.4
"Blauer See Auto, Co.",85171.59,4,Germany,73.3
Motor Mint Distributors Inc.,83682.16,3,USA,74.1
Tekni Collectables Inc.,83228.19,3,USA,75.0
Gifts4AllAges.com,83209.88,3,USA,75.8
Signal Gift Stores,82751.08,3,USA,76.7
Collectables For Less Inc.,81577.98,3,USA,77.5
Mini Caravy,80438.48,3,France,78.3
Super Scale Inc.,79472.07,2,USA,79.1
"Norway Gifts By Mail, Co.",79224.23,2,Norway,80.0
Lyon Souveniers,78570.34,3,France,80.8
Enaco Distributors,78411.86,3,Spain,81.6
giftsbymail.co.uk,78240.84,2,UK,82.4
Classic Legends Inc.,77795.2,3,USA,83.2
"Volvo Model Replicas, Co",75754.88,4,Sweden,83.9
Canadian Gift Exchange Network,75238.92,2,Canada,84.7
Petit Auto,74972.52,3,Belgium,85.5
Marseille Mini Autos,74936.14,3,France,86.3
"Royal Canadian Collectables, Ltd.",74634.85,2,Canada,87.0
Quebec Home Shopping Network,74204.79,3,Canada,87.8
Diecast Collectables,70859.78,2,USA,88.5
Alpha Cognac,70488.44,3,France,89.2
Daedalus Designs Imports,69052.41,2,France,89.9
Osaka Souveniers Co.,67605.07,2,Japan,90.6
"Classic Gift Ideas, Inc",67506.97,2,USA,91.3
Auto Assoc. & Cie.,64834.32,2,France,92.0
"Australian Collectables, Ltd",64591.46,3,Australia,92.6
"Australian Gift Network, Co",59469.12,3,Australia,93.3
"Clover Collections, Co.",57756.43,2,Ireland,93.8
Gift Ideas Corp.,57294.42,3,USA,94.4
Online Mini Collectables,57197.96,2,USA,95.0
"Iberia Gift Imports, Corp.",54723.62,2,Spain,95.6
Mini Auto Werke,52263.9,3,Austria,96.1
Signal Collectibles Ltd.,50218.51,2,USA,96.6
CAF Imports,49642.05,2,Spain,97.1
West Coast Collectables Co.,46084.64,2,USA,97.6
Cambridge Collectables Co.,36163.62,2,USA,98.0
"Double Decker Gift Stores, Ltd",36019.04,2,UK,98.3
"Bavarian Collectables Imports, Co.",34993.92,1,Germany,98.7
Royale Belge,33440.1,4,Belgium,99.0
Microscale Inc.,33144.93,2,USA,99.4
Auto-Moto Classics Inc.,26479.26,3,USA,99.7
Atelier graphique,24179.96,3,France,99.9
Boards & Toys Co.,9129.35,2,USA,100.0
