ORDERNUMBER,ORDERDATE,YEAR,QUARTER,YEAR_MONTH,STATUS,DEALSIZE,CUSTOMERNAME,COUNTRY,CITY,ORDER_TOTAL
10107,2018-02-24,2018,2018Q1,2018-02,Shipped,Small,Land of Toys Inc.,USA,NYC,25783.76
10121,2018-05-07,2018,2018Q2,2018-05,Shipped,Small,Reims Collectables,France,Reims,18971.96
10134,2018-07-01,2018,2018Q3,2018-07,Shipped,Medium,Lyon Souveniers,France,Paris,25624.88
10145,2018-08-25,2018,2018Q3,2018-08,Shipped,Medium,Toys4GrownUps.com,USA,Pasadena,55776.119999999995
10168,2018-10-28,2018,2018Q4,2018-10,Shipped,Medium,Technics Stores Inc.,USA,Burlingame,62305.47
10180,2018-11-11,2018,2018Q4,2018-11,Shipped,Small,Daedalus Designs Imports,France,Lille,48874.28
10188,2018-11-18,2018,2018Q4,2018-11,Shipped,Medium,Herkku Gifts,Norway,Bergen,34481.340000000004
10211,2019-01-15,2019,2019Q1,2019-01,Shipped,Medium,Auto Canal Petit,France,Paris,51172.65
10223,2019-02-20,2019,2019Q1,2019-02,Shipped,Medium,"Australian Collectors, Co.",Australia,Melbourne,49637.57
10237,2019-04-05,2019,2019Q2,2019-04,Shipped,Small,Vitachrome Inc.,USA,NYC,24804.34
10251,2019-05-18,2019,2019Q2,2019-05,Shipped,Medium,Tekni Collectables Inc.,USA,Newark,27987.07
10263,2019-06-28,2019,2019Q2,2019-06,Shipped,Medium,Gift Depot Inc.,USA,Bridgewater,44130.520000000004
10275,2019-07-23,2019,2019Q3,2019-07,Shipped,Medium,La Rochelle Gifts,France,Nantes,56002.9
10285,2019-08-27,2019,2019Q3,2019-08,Shipped,Medium,Marta's Replicas Co.,USA,Cambridge,48828.72
10299,2019-09-30,2019,2019Q3,2019-09,Shipped,Small,"Toys of Finland, Co.",Finland,Helsinki,42744.06
10309,2019-10-15,2019,2019Q4,2019-10,Shipped,Medium,Baane Mini Imports,Norway,Stavern,19769.68
10318,2019-11-02,2019,2019Q4,2019-11,Shipped,Medium,Diecast Classics Inc.,USA,Allentown,44040.729999999996
10329,2019-11-15,2019,2019Q4,2019-11,Shipped,Medium,Land of Toys Inc.,USA,NYC,53152.28
10341,2019-11-24,2019,2019Q4,2019-11,Shipped,Large,Salzburg Collectables,Austria,Salzburg,45001.11
10361,2019-12-17,2019,2019Q4,2019-12,Shipped,Small,Souveniers And Things Co.,Australia,Chatswood,37905.15
10375,2020-02-03,2020,2020Q1,2020-02,Shipped,Small,La Rochelle Gifts,France,Nantes,59617.4
10388,2020-03-03,2020,2020Q1,2020-03,Shipped,Medium,FunGiftIdeas.com,USA,New Bedford,37557.66
10403,2020-04-08,2020,2020Q2,2020-04,Shipped,Small,"UK Collectables, Ltd.",UK,Liverpool,40802.81
10417,2020-05-13,2020,2020Q2,2020-05,Disputed,Large,Euro Shopping Channel,Spain,Madrid,31821.9
10103,2018-01-29,2018,2018Q1,2018-01,Shipped,Medium,Baane Mini Imports,Norway,Stavern,54702.0
10112,2018-03-24,2018,2018Q1,2018-03,Shipped,Large,"Volvo Model Replicas, Co",Sweden,Lule,9749.0
10126,2018-05-28,2018,2018Q2,2018-05,Shipped,Large,"Corrida Auto Replicas, Ltd",Spain,Madrid,61073.21
10140,2018-07-24,2018,2018Q3,2018-07,Shipped,Large,Technics Stores Inc.,USA,Burlingame,42031.83
10150,2018-09-19,2018,2018Q3,2018-09,Shipped,Large,"Dragon Souveniers, Ltd.",Singapore,Singapore,44219.36
10163,2018-10-20,2018,2018Q4,2018-10,Shipped,Medium,Classic Legends Inc.,USA,NYC,25284.75
10174,2018-11-06,2018,2018Q4,2018-11,Shipped,Large,"Australian Gift Network, Co",Australia,South Brisbane,27098.8
10183,2018-11-13,2018,2018Q4,2018-11,Shipped,Medium,"Classic Gift Ideas, Inc",USA,Philadelphia,40061.659999999996
10194,2018-11-25,2018,2018Q4,2018-11,Shipped,Large,"Saveley & Henriot, Co.",France,Lyon,41535.11
10206,2018-12-05,2018,2018Q4,2018-12,Shipped,Large,Canadian Gift Exchange Network,Canada,Vancouver,38662.21
10215,2019-01-29,2019,2019Q1,2019-01,Shipped,Medium,West Coast Collectables Co.,USA,Burbank,37850.08
10228,2019-03-10,2019,2019Q1,2019-03,Shipped,Medium,Cambridge Collectables Co.,USA,Cambridge,21782.7
10245,2019-05-04,2019,2019Q2,2019-05,Shipped,Medium,Super Scale Inc.,USA,New Haven,36973.31
10258,2019-06-15,2019,2019Q2,2019-06,Shipped,Large,"Tokyo Collectables, Ltd",Japan,Minato-ku,25928.75
10270,2019-07-19,2019,2019Q3,2019-07,Shipped,Medium,Souveniers And Things Co.,Australia,Chatswood,41297.14
